"","...1","TRANSPORT","HEALTHCARE","DINING","GROCERIES","PARKS","schools_ELEMENTARY","schools_PRIMARY","schools_SECONDARY","schools_POSTSEC"
"1","10%",197.549426564661,101.123050268814,151.461355848517,87.6154958501744,293.438891625175,60.3552412731206,140.185095569819,208.554586159353,568.46393918446
"2","20%",303.402704854194,157.780914335377,230.388235492086,140.986512068291,394.829972854146,81.7472974620347,202.977241918359,264.257131864266,902.331726494886
"3","30%",370.379506977836,193.924371353298,297.944865346936,185.357716249709,463.139505919743,94.1251423796921,253.005572958148,330.404545295701,1133.45334107454
"4","40%",465.769326124769,224.386263536199,397.609639217987,219.327012908381,541.117069172153,107.036644856445,313.928454057381,366.023783519996,1316.56064281254
"5","50%",523.919313914802,260.66309343049,563.825692444309,246.023573175012,613.016491289041,119.683959675562,378.11405419831,409.439268924296,1544.16809974293
"6","60%",638.205101869009,309.832771954137,627.193638446501,283.459982677458,676.064240826526,133.075800150533,433.141200055754,487.525068441687,1783.63149772979
"7","70%",786.885564107555,397.329700696492,758.882388654862,353.861420915059,804.263166529404,157.780741331634,504.541636183851,548.45140098931,2197.47949349248
"8","80%",892.272399064042,480.305873561489,897.168700196198,426.135977769533,894.591254888476,178.697780896263,584.238239756825,621.827888355616,2661.7192943714
"9","90%",1181.98799424248,546.940392999361,1194.77375480079,492.939611981962,1074.53263416097,212.765415655761,729.506752069352,862.845890774805,3340.70967261337
"10","100%",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
